No,Compound,Best Pose,PLANTS Score
46,Phytol_spores,Phytol_spores_entry_00001_conf_01,-78.9657
47,Aurasperone_D_spores,Aurasperone_D_spores_entry_00001_conf_01,-78.699
48,Flavone_spores,Flavone_spores_entry_00001_conf_01,-78.6838
49,Benzene_acetic_acid__pentadecyl_ester_spores,Benzene_acetic_acid__pentadecyl_ester_spores_entry_00001_conf_01,-78.4555
50,Miserotoxin_spores,Miserotoxin_spores_entry_00001_conf_01,-77.8711
51,Z_Z-8_10-Hexadecadien-1-ol_spores,Z_Z-8_10-Hexadecadien-1-ol_spores_entry_00001_conf_01,-77.7648
52,Naptho_2_3-c_furan-1_3H_-one_derivative_spores,Naptho_2_3-c_furan-1_3H_-one_derivative_spores_entry_00001_conf_01,-77.4852
53,Rehmaionoside_C_spores,Rehmaionoside_C_spores_entry_00001_conf_01,-76.6238
54,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol_spores,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol_spores_entry_00001_conf_01,-76.3412
55,Ferulic_acid_spores,Ferulic_acid_spores_entry_00001_conf_01,-76.0701
56,Saphenamycin_spores,Saphenamycin_spores_entry_00001_conf_01,-75.8632
57,Methyl-7-oxopentadecanoate_spores,Methyl-7-oxopentadecanoate_spores_entry_00001_conf_01,-75.8153
58,Glyceryl_lactopalmitate_spores,Glyceryl_lactopalmitate_spores_entry_00001_conf_01,-75.3884
59,Gallic_acid_spores,Gallic_acid_spores_entry_00001_conf_01,-74.9377
60,Glycophymoline_spores,Glycophymoline_spores_entry_00001_conf_01,-74.8829
61,Theanine_spores,Theanine_spores_entry_00001_conf_01,-74.7985
62,Quercetin_spores,Quercetin_spores_entry_00001_conf_01,-74.7275
63,Pirbuterol_spores,Pirbuterol_spores_entry_00001_conf_01,-74.2602
64,Mecarbinzid_spores,Mecarbinzid_spores_entry_00001_conf_01,-73.8081
65,Cytochalasin_N_spores,Cytochalasin_N_spores_entry_00001_conf_01,-73.7006
