No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score
46,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-,6,-7.81,0.6429,5.036,28,4H-1-Benzopyran-4-one__3_5_7-trihydroxy-2-_4-hydroxy-3-methoxyphenyl_-_spores_entry_00001_conf_01,-84.8548
47,Piperazine__1_4-di_thiobenzoyl_-,1,-7.79,0.8969,6.278,95,Piperazine__1_4-di_thiobenzoyl_-_spores_entry_00001_conf_01,-55.0109
48,Leukotriene_F4,6,-7.79,0.1911,6.011,2,Leukotriene_F4_spores_entry_00001_conf_01,-114.193
49,4-Androsten-6α-ol-3_17-dione,1,-7.78,0.754,5.806,73,4-Androsten-6α-ol-3_17-dione_spores_entry_00001_conf_01,-70.8842
50,___-Gallocatechin,2,-7.75,0.687,4.958,14,___-Gallocatechin_spores_entry_00001_conf_01,-92.1936
51,Retapamulin,7,-7.67,0.4295,6.269,37,Retapamulin_spores_entry_00001_conf_01,-83.0355
52,Gallic_acid,6,-7.44,0.5359,3.679,59,Gallic_acid_spores_entry_00001_conf_01,-74.9377
53,Jasmolone_glucoside,5,-7.42,0.4424,4.351,26,Jasmolone_glucoside_spores_entry_00001_conf_01,-85.7594
54,Miserotoxin,5,-7.32,0.4885,4.203,50,Miserotoxin_spores_entry_00001_conf_01,-77.8711
55,Flavone,7,-7.32,0.5488,5.057,48,Flavone_spores_entry_00001_conf_01,-78.6838
56,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol,7,-7.24,0.4191,5.168,54,6-_1-_4-Methylphenyl_ethyl_-1_3-benzodioxol-5-ol_spores_entry_00001_conf_01,-76.3412
57,Ferulic_acid,3,-6.85,0.659,4.021,55,Ferulic_acid_spores_entry_00001_conf_01,-76.0701
58,Theobromine,1,-6.81,0.8795,4.712,69,Theobromine_spores_entry_00001_conf_01,-72.3702
59,Glycophymoline,8,-6.81,0.5319,4.767,60,Glycophymoline_spores_entry_00001_conf_01,-74.8829
60,2H-1-Benzopyran-2-one,1,-6.78,0.7805,3.696,88,2H-1-Benzopyran-2-one_spores_entry_00001_conf_01,-64.8167
61,Mecarbinzid,4,-6.68,0.6336,6.01,64,Mecarbinzid_spores_entry_00001_conf_01,-73.8081
62,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal,1,-6.66,0.4048,5.559,29,4_9_13_17-Tetramethyl-4_8_12_16-octadecatetraenal_spores_entry_00001_conf_01,-84.5336
63,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester,3,-6.62,0.6195,5.035,78,1_2_3_4-Tetrahydropyrimidine-5-carboxylic_acid__4-_2_4-dimethoxyphenyl_-6-methyl-2-oxo__ethyl_ester_spores_entry_00001_conf_01,-70.2534
64,Thujopsene-_12_,2,-6.49,0.584,4.575,94,Thujopsene-_12__spores_entry_00001_conf_01,-58.7849
65,Pirbuterol,3,-6.39,0.5417,4.021,63,Pirbuterol_spores_entry_00001_conf_01,-74.2602
66,Caffeine,4,-6.39,0.5807,4.148,66,Caffeine_spores_entry_00001_conf_01,-73.2396
67,Theanine,8,-6.31,0.5076,4.028,61,Theanine_spores_entry_00001_conf_01,-74.7985
68,Caffeic_acid,9,-6.28,0.3726,3.582,74,Caffeic_acid_spores_entry_00001_conf_01,-70.7982
69,2_5-di-tert-Butylalanine,3,-6.19,0.5536,4.409,90,2_5-di-tert-Butylalanine_spores_entry_00001_conf_01,-64.1827
70,1-Oxacyclopentadecan-2-one__15-isopropenyl,8,-6.19,0.3769,4.629,87,1-Oxacyclopentadecan-2-one__15-isopropenyl_spores_entry_00001_conf_01,-65.7275
71,2_3-Butanediol_glucoside,6,-6.09,0.5064,3.179,84,2_3-Butanediol_glucoside_spores_entry_00001_conf_01,-67.1603
72,Methyl_N-methylanthranilate,7,-6.01,0.5698,3.515,70,Methyl_N-methylanthranilate_spores_entry_00001_conf_01,-72.0559
73,Oleic_acid,2,-6.0,0.5569,5.011,41,Oleic_acid_spores_entry_00001_conf_01,-81.1196
74,Vanillic_acid,3,-5.96,0.7287,3.797,77,Vanillic_acid_spores_entry_00001_conf_01,-70.3294
75,Theophylline,4,-5.92,0.6828,4.197,72,Theophylline_spores_entry_00001_conf_01,-71.0871
76,Undecanoic_acid__10-methyl-__methyl_ester,9,-5.86,0.4202,4.313,71,Undecanoic_acid__10-methyl-__methyl_ester_spores_entry_00001_conf_01,-71.9008
77,Nonadecane-2_4-dione,9,-5.84,0.3415,5.442,38,Nonadecane-2_4-dione_spores_entry_00001_conf_01,-82.9926
78,Phytol,4,-5.82,0.3499,4.839,46,Phytol_spores_entry_00001_conf_01,-78.9657
79,Resorcinol,9,-5.79,0.6972,3.152,93,Resorcinol_spores_entry_00001_conf_01,-62.3896
80,Fabianine,4,-5.78,0.6385,4.397,86,Fabianine_spores_entry_00001_conf_01,-66.0188
81,9-Hexadecenoic_acid,6,-5.64,0.4814,4.594,31,9-Hexadecenoic_acid_spores_entry_00001_conf_01,-83.5742
82,Oleic_acid__methyl_ester,6,-5.58,0.3612,4.921,35,Oleic_acid__methyl_ester_spores_entry_00001_conf_01,-83.0716
83,Theacrine,9,-5.57,0.4562,3.906,79,Theacrine_spores_entry_00001_conf_01,-70.2031
84,Cyclobutanecarboxylic_acid__heptadecyl_ester,4,-5.55,0.2807,4.751,40,Cyclobutanecarboxylic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-81.1412
85,2-Cyclohexylpiperidine,6,-5.51,0.6069,4.047,83,2-Cyclohexylpiperidine_spores_entry_00001_conf_01,-67.8116
86,5-Hexenoic_acid___9-decen-2-yl__ester,6,-5.46,0.3974,4.451,75,5-Hexenoic_acid___9-decen-2-yl__ester_spores_entry_00001_conf_01,-70.7507
87,Heneicosanoic_acid__methyl_ester,4,-5.42,0.3744,5.091,23,Heneicosanoic_acid__methyl_ester_spores_entry_00001_conf_01,-87.0967
